정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),Unnamed: 54
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-10,장애인,0,0,4,0,0,0,1,0,1,0,4,1,0,0,2,0,6,0,6,0,1,0,2,1,13,0,6,0,4,0,6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-10,국가유공자,0,0,0,0,0,0,10,0,0,0,0,1,0,0,1,0,3,1,0,0,1,0,0,1,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-11,일반인,0,0,233,3,357,31,698,34,790,518,683,367,1284,520,2701,272,3047,228,3888,306,5598,279,5847,196,5714,209,6643,306,5771,321,4038,260,3990,250,4564,187,4191,144,1619,75,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-11,어린이,0,0,0,0,0,0,0,0,0,1,0,1,1,3,5,1,8,3,0,2,14,11,7,2,9,11,8,1,17,7,5,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-11,청소년,0,0,3,0,15,1,11,3,8,47,16,8,51,13,87,9,131,14,138,31,189,19,583,34,317,18,222,38,239,26,210,23,190,14,121,11,147,11,47,4,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-11,경로,0,0,0,0,4,0,10,0,38,1,19,4,17,10,10,0,22,4,17,6,21,3,19,5,22,4,3,4,2,1,4,0,0,0,11,0,1,0,4,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-11,장애인,0,0,3,0,1,0,1,0,0,0,2,0,16,0,0,0,4,0,4,0,4,0,3,0,5,1,2,1,1,1,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-11,국가유공자,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,2,0,3,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-12,일반인,0,0,231,4,341,45,598,42,741,349,742,306,1223,300,2305,265,2237,219,2864,233,3414,209,3622,195,3676,238,4387,303,3557,349,2205,280,2169,221,2542,126,2478,178,991,87,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-12,어린이,0,0,0,0,0,0,0,0,0,4,0,0,4,3,1,1,5,2,9,11,8,7,18,17,14,16,24,15,6,13,8,5,7,2,2,2,0,4,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-12,청소년,0,0,5,1,4,2,3,10,5,65,7,19,37,8,111,18,168,29,149,30,121,32,464,31,269,25,208,40,172,23,151,21,101,14,105,14,100,3,36,5,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-12,경로,0,0,1,0,1,0,3,0,35,0,24,2,12,3,16,3,20,4,18,5,16,2,18,2,14,2,5,7,5,3,6,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-12,장애인,0,0,1,0,0,1,2,0,1,0,0,1,6,0,2,0,4,1,7,2,4,0,5,0,1,0,3,0,4,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-12,국가유공자,0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
