월,정류장,count
202302.0,송도파크자이아파트,1
202302.0,송림오거리,1
202302.0,수봉공원,1
202302.0,숭의초등학교입구,1
202302.0,신동아1.2차아파트,1
202302.0,신동아아파트8차,1
202302.0,신명아파트.대우3차아파트,1
202302.0,신비마을아파트(112동),1
202302.0,신선초등학교앞,1
202302.0,신일교회,1
202302.0,신천동,1
202302.0,신촌오거리.현대백화점,1
202302.0,신흥교통입구,1
202302.0,신흥시장,1
202302.0,심곡극동아파트,1
202302.0,아현역,1
202302.0,양곡도매시장,1
202302.0,연안부두어시장,1
202302.0,올리브백화점,1
202302.0,용남파출소,1
202302.0,용일초등학교,1
202302.0,용현고가교,1
202302.0,운연동,1
202302.0,은영아파트,1
202302.0,인천가톨릭대,1
202302.0,인천교통공사,1
202302.0,인천대공원,1
202302.0,인천대학교공과대학,1
202302.0,인천예림학교(인천성모병원),1
202302.0,인천용학초등학교,1
202302.0,인하대병원입구,1
202302.0,장미아파트(19동)앞,1
202302.0,정광아파트.만수주공11단지,1
202302.0,정부인천지방합동청사,1
202302.0,제물포시장,1
202302.0,제물포역(동양빌딩),1
202302.0,종점(병무청),1
202302.0,주안1동행정복지센터,1
202302.0,주안현대아파트,1
202302.0,청운대삼거리(하늘꿈교회),1
202302.0,태화.두진아파트,1
202302.0,학익시장,1
202302.0,한국국토정보공사인천북부지사,1
202302.0,한국전력,1
202302.0,한라아파트,1
202302.0,효성상아아파트,1
202302.0,힐스테이트학익104동앞,1
202302.0,힐캐슬프라자,1
202303.0,주안역환승정류장,200
202303.0,롯데백화점(인천터미널),103
202303.0,인하대역(7번출구),82
202303.0,동인천,60
202303.0,남중학교,54
202303.0,주안역,52
202303.0,(구)시민회관사거리,47
202303.0,신기.남부종합시장(진흥사거리),42
202303.0,인하대역(1번출구),40
202303.0,송내역남부,34
202303.0,동인천역,33
202303.0,원흥아파트,31
202303.0,인하대후문,31
202303.0,토지금고시장,31
202303.0,풍림아이원아파트,30
202303.0,용현시장,27
202303.0,정석항공과학고,26
202303.0,제물포역,24
202303.0,주안7동행정복지센터,21
202303.0,태화두진아파트,21
202303.0,강남역서초현대타워앞,20
202303.0,문학초등학교,20
202303.0,신동아아파트3차,19
202303.0,장미아파트,19
202303.0,홍대입구역,19
202303.0,송도유원지(도로교통공단),17
202303.0,수봉마을쉼터,16
202303.0,대동아파트,15
202303.0,신동아아파트,15
202303.0,인명여자고등학교,15
202303.0,인천대입구역,15
202303.0,인천향교유림회관,13
202303.0,대림아파트,12
202303.0,벽산이삭아파트,11
202303.0,현대3차아파트,11
202303.0,계룡리슈빌,10
202303.0,동막역(1번출구),10
202303.0,용현고개,10
202303.0,학익고등학교,10
202303.0,나사렛국제병원앞,9
202303.0,동아풍림아파트,9
202303.0,용현고가교,9
202303.0,용현초등학교입구,9
202303.0,관교여자중학교,8
202303.0,아주아파트.미추홀학교,8
202303.0,연학초등학교,8
