이용자유형,정류장,count
국가유공자,현대5차아파트,2
국가유공자,CJ인천2공장,1
국가유공자,가정(루원시티)역,1
국가유공자,간석사거리,1
국가유공자,간석오거리(인천웨딩홀),1
국가유공자,구월아시아드6단지,1
국가유공자,구월중학교,1
국가유공자,국민건강보험남부지사,1
국가유공자,굴포천역(롯데마트),1
국가유공자,남동세무서,1
국가유공자,남촌풍림3차아파트,1
국가유공자,남촌풍림아파트,1
국가유공자,노인복지회관,1
국가유공자,논현10단지별빛마을웰카운티A정문,1
국가유공자,논현14단지등대마을휴먼시아아파트,1
국가유공자,도림아이파크아파트,1
국가유공자,도림주공208동,1
국가유공자,도화IC,1
국가유공자,동양화학,1
국가유공자,동춘동차고지,1
국가유공자,동춘마을아파트,1
국가유공자,래미안아파트파이낸셜뉴스,1
국가유공자,랜드마크시티센트럴더샵(106동),1
국가유공자,롯데슈퍼,1
국가유공자,만수4동주민센터,1
국가유공자,모래내시장역(2번출구),1
국가유공자,문학우체국,1
국가유공자,미추홀서사거리,1
국가유공자,법원,1
국가유공자,벽산.이삭아파트,1
국가유공자,부평시장역,1
국가유공자,부평역(북인천우체국),1
국가유공자,삼미시장,1
국가유공자,상동역1번출구.부천터미널소풍.홈플러스,1
국가유공자,서초힐스아파트,1
국가유공자,석남신사거리,1
국가유공자,석바위시장역,1
국가유공자,송도파크자이아파트,1
국가유공자,신동아1.2차아파트,1
국가유공자,신동아아파트4차,1
국가유공자,신선초등학교,1
국가유공자,신천역.문화의거리,1
국가유공자,신촌오거리.2호선신촌역,1
국가유공자,신흥시장,1
국가유공자,우진아파트,1
국가유공자,운연역,1
국가유공자,이대역,1
국가유공자,인천가정법원.인천지방법원등기국,1
국가유공자,인천가톨릭대,1
국가유공자,인천교회,1
국가유공자,인천대입구역,1
국가유공자,인천예림학교(인천성모병원),1
국가유공자,인천준법지원센터.미추홀트루엘파크,1
국가유공자,인천지방법원,1
국가유공자,장미아파트(19동)앞,1
국가유공자,재흥시장,1
국가유공자,제물포시장,1
국가유공자,제물포역(동양빌딩),1
국가유공자,종점(병무청),1
국가유공자,주안1동행정복지센터,1
국가유공자,주안현대아파트,1
국가유공자,진흥아파트,1
국가유공자,한국국토정보공사인천북부지사,1
국가유공자,한라아파트,1
국가유공자,한진아파트,1
국가유공자,합정역,1
국가유공자,현광아파트(호산부인과),1
국가유공자,홍대입구역,1
국가유공자,힐캐슬프라자,1
어린이,인하대역(7번출구),265
어린이,주안역환승정류장,195
어린이,풍림아이원아파트,164
어린이,롯데백화점(인천터미널),141
어린이,문학초등학교,129
어린이,남중학교,107
어린이,인하대역(1번출구),83
어린이,동아풍림아파트,76
어린이,신동아아파트3차,71
어린이,인하대후문,60
어린이,용현시장,59
어린이,현대3차아파트,58
어린이,수봉마을쉼터,57
어린이,장미아파트,56
어린이,인천향교유림회관,54
어린이,기점(미정차),53
어린이,원흥아파트,50
어린이,동인천역,42
어린이,주안역,39
어린이,숭의초등학교,38
어린이,제물포역,38
어린이,인하대역4번출구,36
어린이,송도파크레인동일하이빌,35
어린이,송내역남부,34
어린이,홍대입구역,33
어린이,토지금고시장,32
어린이,강남역서초현대타워앞,30
어린이,(구)시민회관사거리,27
어린이,미송초등학교,27
어린이,나사렛국제병원앞,26
어린이,구월아시아드6단지,25
어린이,숭의2동행정복지센터,25
어린이,CJ인천2공장,24
어린이,관교여자중학교,24
어린이,대림아파트,24
어린이,연학초등학교,24
어린이,용현초등학교입구,24
어린이,청능로사거리,24
어린이,인천향교.인천도호부청사,23
어린이,신동아아파트,22
어린이,중구문화회관,22
어린이,학산사거리,21
어린이,학익사거리(동아풍림아파트),21
어린이,두산위브아파트,19
어린이,문학경기장(야구장),19
어린이,학산소극장,19
어린이,현광아파트후문,19
어린이,호반써밋송도,19
어린이,남광로얄아파트,18
어린이,월드메르디앙아파트,18
어린이,인천미래생활고등학교,18
어린이,옹진군청,17
어린이,인명여자고등학교,17
어린이,주안7동행정복지센터,17
어린이,도림주공1단지,16
어린이,인천논현중학교,16
어린이,인천소방본부,16
어린이,정석항공과학고,16
어린이,주안3동행정복지센터,16
어린이,주안파크자이더플래티넘아파트,16
어린이,도화IC,15
어린이,미추홀구청입구,14
어린이,신동아3차아파트,14
어린이,신명아파트.대우3차아파트,14
어린이,신포시장,14
어린이,계룡리슈빌,13
어린이,금호2차아파트,13
어린이,선바위역,13
어린이,용일사거리,13
어린이,용현고가교,13
어린이,교대역,12
어린이,송도중학교,12
어린이,힘찬병원,12
어린이,대우푸르지오복합상가,11
어린이,삼영아파트,11
어린이,송도재래시장,11
어린이,송도풍림아이원2단지,11
어린이,신동아아파트5차,11
어린이,인하대병원,11
어린이,관교중학교(약수터),10
어린이,구월2동행정복지센터,10
어린이,금호아파트,10
어린이,라이프아파트,10
어린이,백운프라자,10
어린이,신기.남부종합시장(진흥사거리),10
어린이,제물포시장,10
어린이,학익2동행정복지센터,10
어린이,합정역,10
어린이,힐캐슬프라자,10
어린이,극동.금호아파트,9
어린이,동춘동종점,9
어린이,무지개아파트(동남아파트),9
어린이,벽산이삭아파트,9
어린이,서초역,9
어린이,석암초등학교앞,9
어린이,용일초등학교,9
어린이,용현고개,9
어린이,인천뷰티예술고등학교,9
어린이,태화두진아파트,9
어린이,하나아파트,9
어린이,구월아시아드은빛호수공원,8
어린이,독배로317번길(삼거리),8
어린이,동인천,8
어린이,삼환아파트,8
어린이,신성성결교회(올림피아병원),8
어린이,영남아파트,8
어린이,정광아파트(병무청),8
어린이,학익시장앞,8
어린이,힐스테이트학익104동앞,8
어린이,SK스카이뷰104동,7
어린이,남인천여자중학교,7
어린이,동막역(3번출구),7
어린이,상동역1번출구.부천터미널소풍.홈플러스,7
어린이,새안의원,7
어린이,석바위,7
어린이,수봉공원,7
어린이,인천기계공고,7
어린이,제운사거리(청년창업특화거리),7
어린이,논현14단지등대마을,6
어린이,동산고,6
어린이,만수4동주민센터,6
어린이,만수주공4단지,6
어린이,부천시청역3번출구.경기예고.현대백화점,6
어린이,서교동,6
어린이,서울역,6
어린이,서창이편한세상1002동,6
어린이,서초아트자이아파트,6
어린이,송도유원지(도로교통공단),6
어린이,숭의교회,6
어린이,신중동역6번출구.중흥중학교,6
어린이,용현동농협,6
어린이,윤성아파트(인항고교),6
어린이,인천가정법원.인천지방법원등기국,6
어린이,주안2동치안센터,6
어린이,학익시장(법원검찰청),6
어린이,검암역(시내방면),5
어린이,검암중학교,5
어린이,교보생명,5
어린이,금호타운,5
어린이,남동구청,5
어린이,남동초등학교,5
어린이,로얄아파트,5
어린이,루에블리아파트,5
어린이,문학경로당,5
어린이,미추홀구청,5
어린이,벽산.이삭아파트,5
어린이,부평역,5
어린이,센타빌딩,5
어린이,숭의로터리,5
어린이,신비마을아파트,5
어린이,신흥시장,5
어린이,쌍용아파트,5
어린이,약대사거리,5
어린이,용현중학교,5
어린이,인천대입구역,5
어린이,진흥아파트,5
어린이,토지금고시장앞,5
어린이,학익시장,5
어린이,한국아파트,5
어린이,가현중학교,4
어린이,남동구청후문(남동등기소),4
어린이,도화동신협(구박문여고),4
어린이,문학경기장(월드컵경기장),4
어린이,백산아파트,4
어린이,백운역,4
어린이,서창119안전센터,4
어린이,송도파크자이,4
어린이,숭덕여중고입구,4
어린이,숭의역(1번출구),4
어린이,신동아아파트4차,4
어린이,신촌오거리.현대백화점,4
어린이,양재역,4
어린이,연합의원,4
어린이,유원아파트,4
어린이,인천대학교공과대학,4
어린이,인천용학초등학교,4
어린이,장미아파트(19동)앞,4
어린이,한양아파트,4
어린이,항동7가버스차고지,4
어린이,남인천농협백운지점,3
어린이,노인복지회관,3
어린이,도림아이파크아파트,3
어린이,도림주공208동,3
어린이,독정이고개,3
어린이,래미안아파트파이낸셜뉴스,3
어린이,루원시티사거리,3
어린이,문학우체국,3
어린이,문학정보고입구,3
어린이,삼성빌라(종점),3
어린이,상동역8번출구세이브존,3
어린이,서창센트럴푸르지오,3
어린이,숭의초등학교입구,3
어린이,시민의숲.양재꽃시장,3
어린이,신동아아파트8차,3
어린이,신선초등학교앞,3
어린이,아주아파트.미추홀학교,3
어린이,용남시장,3
어린이,운연역,3
어린이,은영아파트,3
어린이,재흥시장,3
어린이,풍림3차아파트,3
어린이,풍림아파트,3
어린이,학익사거리,3
어린이,현광아파트,3
어린이,SKLPG충전사업소,2
어린이,가정(루원시티)역,2
어린이,구월아시아드8단지,2
어린이,국민건강보험남부지사,2
어린이,길병원,2
어린이,길병원사거리,2
어린이,논현14단지등대마을휴먼시아아파트,2
어린이,대동아파트,2
어린이,대인고등학교,2
어린이,도화오거리,2
어린이,랜드마크시티센트럴더샵(106동),2
어린이,롯데슈퍼,2
어린이,루원이편한세상하늘채(112동),2
어린이,루원이편한세상하늘채(125동),2
어린이,미추홀공원,2
어린이,방촌공원,2
어린이,배다리,2
어린이,백마장입구,2
어린이,벽산아파트(미추홀도서관),2
어린이,부천시청역1번출구,2
어린이,삼미시장,2
어린이,삼익.광명아파트,2
어린이,서창퍼스트뷰후문,2
어린이,서화초등학교(도화e편한세상),2
어린이,소래포구입구,2
어린이,송도컨벤시아,2
어린이,시민공원,2
어린이,신동아1.2차아파트,2
어린이,신선초등학교,2
어린이,신일교회,2
어린이,신창아파트,2
어린이,십정2동행정복지센터,2
어린이,아암물류단지,2
어린이,용정초등학교,2
어린이,용현3동행정복지센터.보훈병원,2
어린이,은지초등학교사거리,2
어린이,인천대정문,2
어린이,인천시청후문,2
어린이,인천재능대학교서문,2
어린이,인천항신국제여객터미널,2
어린이,정다운그린빌,2
어린이,정병원,2
어린이,정부인천지방합동청사,2
어린이,제물포역(동양빌딩),2
어린이,주안1동행정복지센터,2
어린이,주안사거리,2
어린이,주안현대아파트,2
어린이,태화.두진아파트,2
어린이,풍림1차아파트,2
어린이,하늘휴게소,2
어린이,학익고등학교,2
어린이,한국국토정보공사인천북부지사,2
어린이,한라아파트,2
어린이,힐스테이트푸르지오주안,2
어린이,SK스카이뷰109동,1
어린이,가좌농협,1
어린이,가좌홈플러스(쌍마아파트),1
어린이,건설기술교육원,1
어린이,경남아파트,1
어린이,교통방송사거리,1
어린이,구월도매시장,1
어린이,굴다리,1
어린이,굴다리입구,1
어린이,근로복지공단인천병원,1
어린이,남구평생학습센터,1
어린이,남동세무서,1
어린이,논현9단지냇마을신영지웰A정문,1
어린이,대우일렉트로닉스,1
어린이,도림주공2단지,1
어린이,동교동삼거리,1
어린이,동양화학,1
어린이,두산아파트,1
어린이,랜드마크시티센트럴더샵,1
어린이,롯데월드타워,1
어린이,마린월드,1
어린이,모래내시장역(3번출구),1
어린이,문학고개,1
어린이,법원.검찰청,1
어린이,부원중학교,1
어린이,부평구청역,1
어린이,부평시장,1
어린이,석건연립,1
어린이,석남신사거리,1
어린이,석락아파트,1
어린이,석바위시장역,1
어린이,석천사거리역,1
어린이,성리초등학교,1
어린이,성문아파트(문화연립),1
어린이,성지아파트,1
어린이,송림4동행정복지센터,1
어린이,송림고개(도화신동아아파트),1
어린이,송림오거리,1
어린이,수현마을,1
어린이,숭의역(2번출구),1
어린이,신비마을아파트(112동),1
어린이,신중동역4번출구.롯데백화점,1
어린이,신천역.문화의거리,1
어린이,신한빌딩,1
어린이,신흥교통,1
어린이,엑슬루타워,1
어린이,여성의광장,1
어린이,연안부두(신선초등학교),1
어린이,연희동행정복지센터,1
어린이,용현5동행정복지센터,1
어린이,이대역,1
어린이,인수초등학교,1
어린이,인천교통공사,1
어린이,인천대학교자연과학대학,1
어린이,인천예림학교(인천성모병원),1
어린이,인천의료원,1
어린이,인하대정문,1
어린이,작은구월사거리,1
어린이,장천사거리,1
어린이,제일시장,1
어린이,종점(병무청),1
어린이,청운대삼거리(하늘꿈교회),1
어린이,충정로역2호선,1
어린이,태평아파트.주안한신휴플러스아파트,1
어린이,토지금고,1
어린이,학익동성당앞,1
어린이,한신아파트,1
어린이,현대4차아파트,1
어린이,현대아파트,1
일반인,주안역환승정류장,649
일반인,롯데백화점(인천터미널),606
일반인,주안역,186
일반인,신기.남부종합시장(진흥사거리),165
일반인,동인천,157
일반인,인하대역(7번출구),153
일반인,토지금고시장,140
일반인,송내역남부,130
일반인,남중학교,125
일반인,(구)시민회관사거리,113
일반인,홍대입구역,109
일반인,강남역서초현대타워앞,108
일반인,제물포역,91
일반인,호반써밋송도,78
일반인,인천대입구역,68
일반인,인하대역(1번출구),66
일반인,계룡리슈빌,65
일반인,벽산이삭아파트,55
일반인,정석항공과학고,53
일반인,동인천역,51
일반인,용현시장,48
일반인,신비마을아파트,38
일반인,신포시장,37
일반인,원흥아파트,37
일반인,수봉마을쉼터,35
일반인,신동아아파트3차,34
일반인,인하대후문,30
일반인,문학초등학교,25
일반인,검암역(시내방면),21
일반인,풍림아이원아파트,21
일반인,인명여자고등학교,20
일반인,합정역,20
일반인,신동아아파트5차,16
일반인,아주아파트.미추홀학교,16
일반인,부천시청역3번출구.경기예고.현대백화점,14
일반인,문학경로당,12
일반인,주안7동행정복지센터,12
일반인,문학우체국,11
일반인,인천교통공사,11
일반인,인천대학교공과대학,11
일반인,부평역,10
일반인,인천향교유림회관,10
일반인,인하대정문,10
일반인,정광아파트(병무청),10
일반인,주안파크자이더플래티넘아파트,10
일반인,금호타운,8
일반인,연학초등학교,8
일반인,한양아파트,8
일반인,한국아파트,7
일반인,금호아파트,6
일반인,만수주공4단지,6
일반인,수봉공원,6
일반인,주안3동행정복지센터,6
일반인,SK주유소앞,5
일반인,e편한세상정문,5
일반인,길병원,5
일반인,남동초등학교,5
일반인,부천시청역1번출구,5
일반인,약대사거리,5
일반인,인하대병원,5
일반인,태화두진아파트,5
일반인,현대3차아파트,5
일반인,문학정보고입구,4
일반인,미송초등학교,4
일반인,풍림1차아파트,4
일반인,힐스테이트푸르지오주안,4
일반인,구월아시아드8단지,3
일반인,신중동역6번출구.중흥중학교,3
일반인,현광아파트,3
일반인,대림아파트,2
일반인,서창센트럴푸르지오,2
일반인,숭의역(2번출구),2
일반인,신중동역4번출구.롯데백화점,2
일반인,신천동,2
일반인,영남아파트,2
일반인,장천사거리,2
일반인,힘찬병원,2
일반인,가정(루원시티)역,1
일반인,대동아파트,1
일반인,로얄아파트,1
일반인,백운역,1
일반인,삼익.광명아파트,1
일반인,상동역1번출구.부천터미널소풍.홈플러스,1
일반인,숭의로터리,1
일반인,용정초등학교,1
일반인,유원아파트,1
일반인,인하대역4번출구,1
일반인,충정로역2호선,1
일반인,하늘휴게소,1
장애인,주안역환승정류장,412
장애인,롯데백화점(인천터미널),173
장애인,(구)시민회관사거리,165
장애인,동인천,149
장애인,송내역남부,128
장애인,주안역,124
장애인,인하대역(7번출구),112
장애인,남중학교,100
장애인,동인천역,87
장애인,신기.남부종합시장(진흥사거리),87
장애인,용현시장,71
장애인,인천향교유림회관,68
