노선,기종점,월,정류장순번,정류장,이용자유형,합계,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,00,04,01,02,03
111-2,동춘동차고지 - 동춘동차고지,202305.0,61.0,부평구청,장애인,45,26,0,14,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202306.0,61.0,부평구청,장애인,57,26,3,16,0,0,0,4,2,1,0,0,0,0,1,1,3,0,0,0,0.0,,,,
111-2,동춘동차고지 - 동춘동차고지,202307.0,61.0,부평구청,장애인,36,26,0,0,1,0,0,1,1,0,1,0,2,0,0,1,1,1,1,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202308.0,61.0,부평구청,장애인,31,24,0,0,1,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0.0,,,,
111-2,동춘동차고지 - 동춘동차고지,202309.0,61.0,부평구청,장애인,31,23,0,1,1,0,2,0,0,0,1,1,0,0,0,1,0,1,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202310.0,115.0,백운역,장애인,44,12,0,0,10,3,3,4,1,1,2,1,4,2,1,0,0,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202311.0,62.0,부평구청,장애인,28,24,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202312.0,62.0,부평구청,장애인,33,24,0,0,1,1,0,0,1,2,1,0,0,0,0,1,1,1,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202301.0,127.0,롯데백화점(인천터미널),청소년,1235,15,6,23,12,9,17,27,40,36,54,85,105,113,150,107,118,157,147,14,,,,,
111-2,동춘동차고지 - 동춘동차고지,202302.0,127.0,롯데백화점(인천터미널),청소년,1151,12,10,9,16,9,10,22,37,45,59,93,97,128,129,114,115,120,107,19,,,,,
111-2,동춘동차고지 - 동춘동차고지,202303.0,127.0,롯데백화점(인천터미널),청소년,1357,9,5,82,38,9,14,15,23,32,33,88,108,187,146,138,160,142,123,5,,,,,
111-2,동춘동차고지 - 동춘동차고지,202304.0,127.0,롯데백화점(인천터미널),청소년,1060,9,5,61,37,9,13,25,23,28,29,54,96,136,117,101,100,127,79,11,,,,,
111-2,동춘동차고지 - 동춘동차고지,202305.0,19.0,인하대정문,청소년,504,5,3,0,4,2,6,9,19,21,19,49,73,79,57,36,28,39,55,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202306.0,13.0,원흥아파트,청소년,977,8,29,158,109,20,31,13,32,41,20,103,128,84,65,41,45,26,24,0,0.0,,,,
111-2,동춘동차고지 - 동춘동차고지,202307.0,13.0,원흥아파트,청소년,887,10,13,101,93,15,27,25,78,75,54,69,101,85,39,30,30,26,16,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202308.0,14.0,현대3차아파트,청소년,900,6,6,74,110,29,15,20,42,37,32,104,113,127,42,39,29,33,42,0,0.0,,,,
111-2,동춘동차고지 - 동춘동차고지,202309.0,56.0,두산아파트,청소년,81,4,4,0,0,0,1,3,3,7,4,33,21,1,0,0,0,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202310.0,24.0,신동아1.2차아파트,청소년,149,5,0,13,7,2,6,14,18,10,7,9,15,11,10,13,3,2,4,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202311.0,24.0,신동아1.2차아파트,청소년,156,8,2,10,8,3,2,12,6,4,11,6,22,17,17,16,2,5,5,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202312.0,12.0,백산아파트,청소년,182,3,0,28,38,5,4,5,11,7,14,9,10,9,4,3,11,6,15,0,,,,,
13,신흥교통 - 신흥교통,202301.0,25.0,용일사거리,경로,40,22,1,0,1,1,0,1,3,2,1,2,3,0,1,1,1,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202302.0,25.0,용일사거리,경로,34,22,0,0,0,1,1,1,1,1,0,1,1,2,2,0,1,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202303.0,25.0,용일사거리,경로,50,25,0,0,2,2,4,7,3,1,1,2,0,0,1,0,1,1,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202304.0,25.0,용일사거리,경로,52,24,0,1,3,2,2,1,2,0,3,2,1,2,5,2,2,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202305.0,25.0,용일사거리,경로,44,21,2,0,2,2,1,2,2,2,1,3,1,1,2,1,1,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202306.0,25.0,용일사거리,경로,54,23,1,1,1,0,1,2,1,2,2,4,5,3,3,1,3,1,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202307.0,25.0,용일사거리,경로,54,26,0,0,1,2,3,4,1,1,0,1,3,2,4,1,5,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202308.0,25.0,용일사거리,경로,59,21,2,1,2,2,4,3,4,5,2,3,1,4,1,0,3,1,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202309.0,25.0,용일사거리,경로,55,22,1,1,0,5,1,1,3,2,1,7,2,5,1,1,2,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202310.0,25.0,용일사거리,경로,43,23,0,1,4,0,4,0,2,0,3,0,2,1,1,1,1,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202311.0,27.0,용일사거리,경로,35,9,0,0,0,1,1,1,3,1,2,1,3,7,3,0,2,1,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202312.0,27.0,용일사거리,경로,57,24,1,2,1,2,3,1,4,7,3,0,1,3,0,1,4,0,0,0,0.0,,,,
