노선,정류장,count
5,장미아파트(19동)앞,3
5,정다운그린빌,3
5,금호타운,2
5,임광그대가103동,2
5,남촌풍림아파트,1
5,도림육교,1
5,문학경기장(월드컵경기장),1
5,신한빌딩,1
5,토지금고시장앞,1
5,하나아파트,1
5-1,주안역환승정류장,750
5-1,인하대역(1번출구),126
5-1,풍림아이원아파트,83
5-1,동아풍림아파트,70
5-1,주안7동행정복지센터,57
5-1,용현초등학교입구,40
5-1,대림아파트,36
5-1,주안3동행정복지센터,30
5-1,인하대역(7번출구),29
5-1,주안파크자이더플래티넘아파트,28
5-1,(구)시민회관사거리,20
5-1,금호2차아파트,18
5-1,두산위브아파트,18
5-1,학익2동행정복지센터,17
5-1,금호타운,14
5-1,주안역,12
5-1,신창아파트,11
5-1,토지금고시장앞,11
5-1,옹진군청,9
5-1,장미아파트,9
5-1,인천소방본부,8
5-1,로얄아파트,7
5-1,제운사거리(청년창업특화거리),6
5-1,학익시장,6
5-1,장미아파트(19동)앞,5
5-1,남광로얄아파트,4
5-1,시민공원,4
5-1,학익사거리,3
5-1,재흥시장,2
5-1,힐스테이트푸르지오주안,2
5-1,힐스테이트학익104동앞,2
5-1,윤성아파트(인항고교),1
5-1,인하대정문,1
5-1,토지금고시장,1
511,주안역환승정류장,1157
511,인천기계공고,60
511,용일사거리,56
511,인하대후문,52
511,학산소극장,26
511,SK스카이뷰104동,22
511,도화IC,16
511,독배로317번길(삼거리),11
511,인천용학초등학교,11
511,용남파출소,8
511,주안2동치안센터,8
511,굴다리,4
511,정석항공과학고,4
511,SK스카이뷰109동,2
511,롯데월드타워,1
511,용현고가교,1
511,제일시장,1
512,남중학교,596
512,용현시장,222
512,수봉마을쉼터,208
512,제물포역,95
512,용현고개,64
512,용정초등학교,56
512,인하대후문,44
512,용현고가교,37
512,수봉공원,34
512,미추홀구청,18
512,제물포시장,11
512,장천사거리,10
512,용일초등학교,8
512,제물포역(동양빌딩),8
512,삼성빌라(종점),7
512,숭의초등학교입구,5
512,용남파출소,5
512,용남시장,4
512,용일사거리,4
512,독정이고개,2
512,정석항공과학고,2
515,주안역,451
515,신기.남부종합시장(진흥사거리),237
515,문학초등학교,213
515,(구)시민회관사거리,85
515,신비마을아파트,80
515,관교여자중학교,52
515,관교중학교(약수터),45
515,삼영아파트,36
515,학익시장앞,35
515,학익사거리(동아풍림아파트),32
515,인천향교.인천도호부청사,25
515,진흥아파트,25
515,인하대역(1번출구),24
515,쌍용아파트,22
515,남광로얄아파트,11
515,신비마을아파트(112동),10
515,문학경기장(야구장),9
515,로얄아파트,7
515,장미아파트,7
515,석암초등학교,6
515,시민공원,5
515,태평아파트.주안한신휴플러스아파트,5
515,인천지방법원,4
515,학익시장(법원검찰청),4
515,힐스테이트푸르지오주안,4
515,법원.검찰청,3
515,신동아3차아파트,2
515,신동아1.2차아파트,1
516,주안역환승정류장,545
516,인하대역(7번출구),187
516,풍림아이원아파트,102
516,신기.남부종합시장(진흥사거리),90
516,연학초등학교,87
516,신동아아파트,70
516,(구)시민회관사거리,47
516,두산위브아파트,36
516,인하대역(1번출구),29
516,현광아파트후문,26
516,정광아파트(병무청),25
516,동아풍림아파트,21
516,신동아아파트5차,21
516,쌍용아파트,16
516,현광아파트,15
516,석암초등학교앞,14
516,학익동성당앞,14
516,신동아아파트(B),13
516,남광로얄아파트,10
516,힐스테이트푸르지오주안,9
516,석바위,8
516,우진아파트,8
516,학익시장,8
516,로얄아파트,5
516,인천가정법원.인천지방법원등기국,5
516,주안역,5
516,학익사거리,5
516,재흥시장,4
516,학익2동행정복지센터,4
516,주안현대아파트,3
516,교보생명,1
516,미추홀서사거리,1
516,법원,1
516,인천준법지원센터.미추홀트루엘파크,1
516,인하대정문,1
516,장미아파트,1
516,장미아파트(19동)앞,1
516,학익여자고등학교,1
517,동인천,303
517,동인천역,244
517,토지금고시장,240
517,제물포역,81
517,신포시장,55
517,용현시장,53
517,기점(미정차),48
517,남중학교,39
517,한양아파트,37
517,인하대역4번출구,36
517,용현초등학교입구,29
517,유원아파트,25
517,숭의초등학교,21
517,용현중학교,21
517,미추홀구청입구,18
517,백운프라자,17
517,윤성아파트(인항고교),15
517,굴다리입구,14
517,배다리,14
517,장미아파트,14
517,용현고개,13
517,한국아파트,13
517,숭의2동행정복지센터,12
517,송도중학교,11
517,토지금고시장앞,11
517,숭의역(1번출구),8
517,인천정보과학고등학교,6
517,인하대병원,5
517,학익사거리(동아풍림아파트),5
517,신흥시장,4
517,금호아파트,3
517,남인천농협백운지점,3
517,용현동농협,3
517,풍림아이원아파트,3
517,학산사거리,3
517,경남아파트,2
517,동아풍림아파트,2
517,보건환경연구원,2
517,엑슬루타워,2
517,장천사거리,2
517,두산위브아파트,1
517,옹진농협,1
517,학익사거리,1
518,(구)시민회관사거리,286
518,신기.남부종합시장(진흥사거리),254
518,인하대역(7번출구),159
518,신동아아파트3차,149
518,인천향교유림회관,105
518,주안역,78
518,신동아아파트,54
518,대동아파트,47
518,학산사거리,46
518,학익고등학교,33
518,신동아아파트5차,32
518,동아풍림아파트,31
518,석바위,29
518,신동아아파트(B),28
518,신동아아파트8차,27
518,석암초등학교앞,21
518,남광로얄아파트,16
518,신동아아파트4차,9
518,인천가정법원.인천지방법원등기국,9
518,교보생명,5
518,쌍용아파트,5
518,하나아파트,5
518,로얄아파트,2
518,석건연립,2
518,재흥시장,2
518,종점(병무청),2
518,힐스테이트푸르지오주안,2
518,장미아파트,1
518,주안현대아파트,1
519,동인천,313
519,동인천역,256
519,토지금고시장,160
519,제물포역,114
519,신포시장,67
519,용현시장,61
519,인하대역4번출구,58
519,기점(미정차),53
519,남중학교,36
519,대림아파트,35
519,숭의초등학교,24
519,숭의2동행정복지센터,22
519,금호아파트,21
519,미추홀구청입구,17
519,금호타운,15
519,배다리,15
519,한국아파트,15
519,장미아파트,14
519,인하대병원,11
519,하나로쇼핑,11
519,토지금고,10
519,풍림아이원아파트,10
519,학익사거리(동아풍림아파트),10
519,윤성아파트(인항고교),9
519,인천정보과학고등학교,8
519,송도중학교,7
519,숭의역(2번출구),6
519,토지금고시장앞,6
519,유원아파트,5
519,인하대정문,5
519,노인복지회관,4
519,신창아파트,4
519,용현고개,4
519,중구노인복지회관,4
519,교통방송사거리,3
519,두산위브아파트,3
519,보건환경연구원,3
519,신흥시장,3
519,용현동농협,3
519,학산사거리,3
519,금호2차아파트,2
519,동아풍림아파트,2
519,옹진농협,2
519,학익사거리,2
519,대우일렉트로닉스,1
519,용현5동행정복지센터,1
519,인천출입국.외국인청,1
519,힐스테이트학익104동앞,1
8,송내역남부,506
8,동막역(1번출구),121
8,인천대입구역,112
8,나사렛국제병원앞,109
8,아주아파트.미추홀학교,55
8,인하대역(7번출구),46
8,현대3차아파트,27
8,원흥아파트,26
8,송도풍림아이원2단지,25
8,장미아파트,25
8,(구)시민회관사거리,23
8,동막역(3번출구),23
8,복지회관,22
8,용일사거리,20
8,송도재래시장,18
8,인하대역(1번출구),18
8,만수주공4단지,17
8,인천뷰티예술고등학교,17
8,백산아파트,15
8,인천대학교공과대학,15
8,힐캐슬프라자,13
8,석바위,12
8,현대4차아파트,10
8,새안의원,9
8,석락아파트,9
8,만수4동주민센터,8
8,송학둥지아파트,8
8,인천시청후문,8
8,주안현대아파트,8
8,학익2동행정복지센터,8
8,송도유원지(도로교통공단),7
8,학익사거리(동아풍림아파트),7
8,현광아파트(호산부인과),7
8,현대5차아파트,6
8,송도라마다호텔앞,5
8,인천대공원,5
8,정광아파트.만수주공11단지,5
8,석천사거리역,4
8,숭덕여중고입구,4
8,한진아파트,4
8,국민건강보험남부지사,3
8,대동아파트,3
8,모래내시장역(3번출구),3
8,송도컨벤시아,3
8,재흥시장,3
8,제운사거리(청년창업특화거리),3
8,태평아파트,3
8,학익시장,3
8,모래내시장역(1번출구),2
8,미추홀공원,2
8,석바위시장역,2
8,송도고입구,2
8,송도파크자이아파트,2
8,송도풍림아이원4단지,2
8,쌍용아파트,2
8,인천가톨릭대,2
8,인천대정문,2
8,공작아파트,1
8,근로복지공단인천병원,1
8,금호아파트,1
8,모래내시장역(4번출구),1
8,성지아파트,1
8,수현마을,1
8,신송고등학교,1
8,여성의광장,1
8,인천대학교자연과학대학,1
8,해양경찰청,1
8,현광아파트,1
9200,강남역서초현대타워앞,311
9200,인하대역(7번출구),294
9200,원흥아파트,205
9200,송도유원지(도로교통공단),155
9200,송도파크레인동일하이빌,80
9200,교대역,45
9200,시민의숲.양재꽃시장,43
9200,장미아파트,40
9200,학익시장(법원검찰청),33
9200,선바위역,32
9200,서초역,31
9200,신동아3차아파트,30
9200,양재역,29
9200,송도파크자이,25
9200,인하대정문,24
9200,하늘휴게소,20
9200,서초아트자이아파트,16
9200,신동아1.2차아파트,7
9200,래미안아파트파이낸셜뉴스,5
9200,법원.검찰청,5
9200,양곡도매시장,4
9200,서초힐스아파트,2
9200,주안3동행정복지센터,2
9200,주안파크자이더플래티넘아파트,1
9200,학익시장,1
